CPT_CODE|CPT_LONG_DESCRIPTION|CPT_LONG_DESCRIPTION
25250|REMOVAL OF WRIST PROSTHESIS; (SEPARATE PROCEDURE)|REMOVAL OF WRIST PROSTHESIS; (SEPARATE PROCEDURE)
25251|REMOVAL OF WRIST PROSTHESIS; COMPLICATED, INCLUDING "TOTAL WRIST"""|REMOVAL OF WRIST PROSTHESIS; COMPLICATED, INCLUDING "TOTAL WRIST"""
25259|MANIPULATION, WRIST, UNDER ANESTHESIA|MANIPULATION, WRIST, UNDER ANESTHESIA
25260|REPAIR, TENDON OR MUSCLE, FLEXOR, FOREARM AND/OR WRIST; PRIMARY, SINGLE, EACH TENDON OR MUSCLE|REPAIR, TENDON OR MUSCLE, FLEXOR, FOREARM AND/OR WRIST; PRIMARY, SINGLE, EACH TENDON OR MUSCLE
25263|REPAIR, TENDON OR MUSCLE, FLEXOR, FOREARM AND/OR WRIST; SECONDARY, SINGLE, EACH TENDON OR MUSCLE|REPAIR, TENDON OR MUSCLE, FLEXOR, FOREARM AND/OR WRIST; SECONDARY, SINGLE, EACH TENDON OR MUSCLE
25265|REPAIR, TENDON OR MUSCLE, FLEXOR, FOREARM AND/OR WRIST; SECONDARY, WITH FREE GRAFT (INCLUDES OBTAINING GRAFT), EACH TENDON OR MUSCLE|REPAIR, TENDON OR MUSCLE, FLEXOR, FOREARM AND/OR WRIST; SECONDARY, WITH FREE GRAFT (INCLUDES OBTAINING GRAFT), EACH TENDON OR MUSCLE
25270|REPAIR, TENDON OR MUSCLE, EXTENSOR, FOREARM AND/OR WRIST; PRIMARY, SINGLE, EACH TENDON OR MUSCLE|REPAIR, TENDON OR MUSCLE, EXTENSOR, FOREARM AND/OR WRIST; PRIMARY, SINGLE, EACH TENDON OR MUSCLE
25272|REPAIR, TENDON OR MUSCLE, EXTENSOR, FOREARM AND/OR WRIST; SECONDARY, SINGLE, EACH TENDON OR MUSCLE|REPAIR, TENDON OR MUSCLE, EXTENSOR, FOREARM AND/OR WRIST; SECONDARY, SINGLE, EACH TENDON OR MUSCLE
25274|REPAIR, TENDON OR MUSCLE, EXTENSOR, FOREARM AND/OR WRIST; SECONDARY, WITH FREE GRAFT, EACH TENDON OR MUSCLE|REPAIR, TENDON OR MUSCLE, EXTENSOR, FOREARM AND/OR WRIST; SECONDARY, WITH FREE GRAFT, EACH TENDON OR MUSCLE
25275|REPAIR, TENDON SHEATH, EXTENSOR, FOREARM AND/OR WRIST, WITH FREE GRAFT (INCLUDES OBTAINING GRAFT) (EG, FOR EXTENSOR CARPI ULNARIS SUBLUXATION)|REPAIR, TENDON SHEATH, EXTENSOR, FOREARM AND/OR WRIST, WITH FREE GRAFT (INCLUDES OBTAINING GRAFT) (EG, FOR EXTENSOR CARPI ULNARIS SUBLUXATION)
25280|LENGTHENING OR SHORTENING OF FLEXOR OR EXTENSOR TENDON, FOREARM AND/OR WRIST, SINGLE, EACH TENDON|LENGTHENING OR SHORTENING OF FLEXOR OR EXTENSOR TENDON, FOREARM AND/OR WRIST, SINGLE, EACH TENDON
25290|TENOTOMY, OPEN, FLEXOR OR EXTENSOR TENDON, FOREARM AND/OR WRIST, SINGLE, EACH TENDON|TENOTOMY, OPEN, FLEXOR OR EXTENSOR TENDON, FOREARM AND/OR WRIST, SINGLE, EACH TENDON
25295|TENOLYSIS, FLEXOR OR EXTENSOR TENDON, FOREARM AND/OR WRIST, SINGLE, EACH TENDON|TENOLYSIS, FLEXOR OR EXTENSOR TENDON, FOREARM AND/OR WRIST, SINGLE, EACH TENDON
25300|TENODESIS AT WRIST; FLEXORS OF FINGERS|TENODESIS AT WRIST; FLEXORS OF FINGERS
25301|TENODESIS AT WRIST; EXTENSORS OF FINGERS|TENODESIS AT WRIST; EXTENSORS OF FINGERS
25310|TENDON TRANSPLANTATION OR TRANSFER, FLEXOR OR EXTENSOR, FOREARM AND/OR WRIST, SINGLE; EACH TENDON|TENDON TRANSPLANTATION OR TRANSFER, FLEXOR OR EXTENSOR, FOREARM AND/OR WRIST, SINGLE; EACH TENDON
25312|TENDON TRANSPLANTATION OR TRANSFER, FLEXOR OR EXTENSOR, FOREARM AND/OR WRIST, SINGLE; WITH TENDON GRAFT(S) (INCLUDES OBTAINING GRAFT), EACH TEN|TENDON TRANSPLANTATION OR TRANSFER, FLEXOR OR EXTENSOR, FOREARM AND/OR WRIST, SINGLE; WITH TENDON GRAFT(S) (INCLUDES OBTAINING GRAFT), EACH TEN
25315|FLEXOR ORIGIN SLIDE (EG, FOR CEREBRAL PALSY, VOLKMANN CONTRACTURE), FOREARM AND/OR WRIST;|FLEXOR ORIGIN SLIDE (EG, FOR CEREBRAL PALSY, VOLKMANN CONTRACTURE), FOREARM AND/OR WRIST;
25316|FLEXOR ORIGIN SLIDE (EG, FOR CEREBRAL PALSY, VOLKMANN CONTRACTURE), FOREARM AND/OR WRIST; WITH TENDON(S) TRANSFER|FLEXOR ORIGIN SLIDE (EG, FOR CEREBRAL PALSY, VOLKMANN CONTRACTURE), FOREARM AND/OR WRIST; WITH TENDON(S) TRANSFER
25320|CAPSULORRHAPHY OR RECONSTRUCTION, WRIST, OPEN (EG, CAPSULODESIS,LIGAMENT REPAIR, TENDON TRANSFER OR GRAFT) (INCLUDES SYNOVECTOMY,CAPSULOTOMY AN|CAPSULORRHAPHY OR RECONSTRUCTION, WRIST, OPEN (EG, CAPSULODESIS,LIGAMENT REPAIR, TENDON TRANSFER OR GRAFT) (INCLUDES SYNOVECTOMY,CAPSULOTOMY AN
25332|ARTHOPLASTY, WRIST, WITH OR WITHOUT INTERPOSITION, WITH OR WITHOUT EXTERNAL OR INTERNAL FIXATION|ARTHOPLASTY, WRIST, WITH OR WITHOUT INTERPOSITION, WITH OR WITHOUT EXTERNAL OR INTERNAL FIXATION
25335|CENTRALIZATION OF WRIST ON ULNA (EG, RADIAL CLUB HAND)|CENTRALIZATION OF WRIST ON ULNA (EG, RADIAL CLUB HAND)
25337|RECONSTRUCTION FOR STABILIZATION OF UNSTABLE DISTAL ULNA OR DISTAL RADIOULNAR JOINT, SECONDARY BY SOFT TISSUE STABILIZATION (EG, TENDON TRF, TE|RECONSTRUCTION FOR STABILIZATION OF UNSTABLE DISTAL ULNA OR DISTAL RADIOULNAR JOINT, SECONDARY BY SOFT TISSUE STABILIZATION (EG, TENDON TRF, TE
25350|OSTEOTOMY, RADIUS; DISTAL THIRD|OSTEOTOMY, RADIUS; DISTAL THIRD
25355|OSTEOTOMY, RADIUS; MIDDLE OR PROXIMAL THIRD|OSTEOTOMY, RADIUS; MIDDLE OR PROXIMAL THIRD
25360|OSTEOTOMY; ULNA|OSTEOTOMY; ULNA
25365|OSTEOTOMY; RADIUS AND ULNA|OSTEOTOMY; RADIUS AND ULNA
25370|MULTIPLE OSTEOTOMIES, WITH REALIGNMENT ON INTRAMEDULLARY ROD (SOFIELD TYPE PROCEDURE); RADIUS OR ULNA|MULTIPLE OSTEOTOMIES, WITH REALIGNMENT ON INTRAMEDULLARY ROD (SOFIELD TYPE PROCEDURE); RADIUS OR ULNA
25375|MULTIPLE OSTEOTOMIES, WITH REALIGNMENT ON INTRAMEDULLARY ROD (SOFIELD TYPE PROCEDURE); RADIUS AND ULNA|MULTIPLE OSTEOTOMIES, WITH REALIGNMENT ON INTRAMEDULLARY ROD (SOFIELD TYPE PROCEDURE); RADIUS AND ULNA
25390|OSTEOPLASTY, RADIUS OR ULNA; SHORTENING|OSTEOPLASTY, RADIUS OR ULNA; SHORTENING
25391|OSTEOPLASTY, RADIUS OR ULNA; LENGTHENING WITH AUTOGRAFT|OSTEOPLASTY, RADIUS OR ULNA; LENGTHENING WITH AUTOGRAFT
25392|OSTEOPLASTY, RADIUS AND ULNA; SHORTENING (EXCLUDING 64876)|OSTEOPLASTY, RADIUS AND ULNA; SHORTENING (EXCLUDING 64876)
25393|OSTEOPLASTY, RADIUS AND ULNA; LENGTHENING WITH AUTOGRAFT|OSTEOPLASTY, RADIUS AND ULNA; LENGTHENING WITH AUTOGRAFT
25394|OSTEOPLASTY, CARPAL BONE, SHORTENING|OSTEOPLASTY, CARPAL BONE, SHORTENING
25400|REPAIR OF NONUNION OR MALUNION, RADIUS OR ULNA; WITHOUT GRAFT (EG, COMPRESSION TECHNIQUE)|REPAIR OF NONUNION OR MALUNION, RADIUS OR ULNA; WITHOUT GRAFT (EG, COMPRESSION TECHNIQUE)
25405|REPAIR OF NONUNION OR MALUNION, RADIUS OR ULNA; WITH AUTOGRAFT|REPAIR OF NONUNION OR MALUNION, RADIUS OR ULNA; WITH AUTOGRAFT
25415|REPAIR OF NONUNION OR MALUNION, RADIUS AND ULNA; WITHOUT GRAFT (EG, COMPRESSION TECHNIQUE)|REPAIR OF NONUNION OR MALUNION, RADIUS AND ULNA; WITHOUT GRAFT (EG, COMPRESSION TECHNIQUE)
25420|REPAIR OF NONUNION OR MALUNION, RADIUS AND ULNA; WITH AUTOGRAFT|REPAIR OF NONUNION OR MALUNION, RADIUS AND ULNA; WITH AUTOGRAFT
25425|REPAIR OF DEFECT WITH AUTOGRAFT; RADIUS OR ULNA|REPAIR OF DEFECT WITH AUTOGRAFT; RADIUS OR ULNA
25426|REPAIR OF DEFECT WITH AUTOGRAFT; RADIUS AND ULNA|REPAIR OF DEFECT WITH AUTOGRAFT; RADIUS AND ULNA
25430|INSERTION OF VASCULAR PEDICLE INTO CARPAL BONE (EG, HORI PROCEDURE)|INSERTION OF VASCULAR PEDICLE INTO CARPAL BONE (EG, HORI PROCEDURE)
25431|REPAIR OF NONUNION OF CARPAL BONE (EXCLUDING CARPAL SCAPHOID (NAVICULAR)) (INCLUDES OBTAINING GRAFT AND NECESSARY FIXATION), EACH BONE|REPAIR OF NONUNION OF CARPAL BONE (EXCLUDING CARPAL SCAPHOID (NAVICULAR)) (INCLUDES OBTAINING GRAFT AND NECESSARY FIXATION), EACH BONE
25440|REPAIR OF NONUNION, SCAPHOID CARPALBONE, WITH OR WITHOUT RADIAL STYLOIDECTOMY|REPAIR OF NONUNION, SCAPHOID CARPALBONE, WITH OR WITHOUT RADIAL STYLOIDECTOMY
25441|ARTHROPLASTY WITH PROSTHETIC REPLACEMENT; DISTAL RADIUS|ARTHROPLASTY WITH PROSTHETIC REPLACEMENT; DISTAL RADIUS
25442|ARTHROPLASTY WITH PROSTHETIC REPLACEMENT; DISTAL ULNA|ARTHROPLASTY WITH PROSTHETIC REPLACEMENT; DISTAL ULNA
25443|ARTHROPLASTY WITH PROSTHETIC REPLACEMENT; SCAPHOID CARPAL|ARTHROPLASTY WITH PROSTHETIC REPLACEMENT; SCAPHOID CARPAL
25444|ARTHROPLASTY WITH PROSTHETIC REPLACEMENT; LUNATE|ARTHROPLASTY WITH PROSTHETIC REPLACEMENT; LUNATE
25445|ARTHROPLASTY WITH PROSTHETIC REPLACEMENT; TRAPEZIUM|ARTHROPLASTY WITH PROSTHETIC REPLACEMENT; TRAPEZIUM
25446|ARTHROPLASTY WITH PROSTHETIC REPLACEMENT; DISTAL RADIUS AND PARTIAL OR ENTIRE CARPUS ("TOTAL WRIST"")"|ARTHROPLASTY WITH PROSTHETIC REPLACEMENT; DISTAL RADIUS AND PARTIAL OR ENTIRE CARPUS ("TOTAL WRIST"")"
25447|ARTHROPLASTY, INTERPOSITION, INTERCARPAL OR CARPOMETACARPAL JOINTS|ARTHROPLASTY, INTERPOSITION, INTERCARPAL OR CARPOMETACARPAL JOINTS
25449|REVISION OF ARTHROPLASTY, INCLUDING REMOVAL OF IMPLANT, WRIST JOINT|REVISION OF ARTHROPLASTY, INCLUDING REMOVAL OF IMPLANT, WRIST JOINT
25450|EPIPHYSEAL ARREST BY EPIPHYSIODESIS OR STAPLING; DISTAL RADIUS OR ULNA|EPIPHYSEAL ARREST BY EPIPHYSIODESIS OR STAPLING; DISTAL RADIUS OR ULNA
25455|EPIPHYSEAL ARREST BY EPIPHYSIODESIS OR STAPLING; DISTAL RADIUS AND ULNA|EPIPHYSEAL ARREST BY EPIPHYSIODESIS OR STAPLING; DISTAL RADIUS AND ULNA
25490|PROPHYLACTIC TREATMENT (NAILING, PINNING, PLATING OR WIRING) WITH OR WITHOUT METHYLMETHACRYLATE; RADIUS|PROPHYLACTIC TREATMENT (NAILING, PINNING, PLATING OR WIRING) WITH OR WITHOUT METHYLMETHACRYLATE; RADIUS
25491|PROPHYLACTIC TREATMENT (NAILING, PINNING, PLATING OR WIRING) WITH OR WITHOUT METHYLMETHACRYLATE; ULNA|PROPHYLACTIC TREATMENT (NAILING, PINNING, PLATING OR WIRING) WITH OR WITHOUT METHYLMETHACRYLATE; ULNA
25492|PROPHYLACTIC TREATMENT (NAILING, PINNING, PLATING OR WIRING) WITH OR WITHOUT METHYLMETHACRYLATE; RADIUS AND ULNA|PROPHYLACTIC TREATMENT (NAILING, PINNING, PLATING OR WIRING) WITH OR WITHOUT METHYLMETHACRYLATE; RADIUS AND ULNA
25500|CLOSED TREATMENT OF RADIAL SHAFT FRACTURE; WITHOUT MANIPULATION|CLOSED TREATMENT OF RADIAL SHAFT FRACTURE; WITHOUT MANIPULATION
25505|CLOSED TREATMENT OF RADIAL SHAFT FRACTURE; WITH MANIPULATION|CLOSED TREATMENT OF RADIAL SHAFT FRACTURE; WITH MANIPULATION
25515|OPEN TREATMENT OF RADIAL SHAFT FRACTURE, WITH OR WITHOUT INTERNAL OR EXTERNAL FIXATION|OPEN TREATMENT OF RADIAL SHAFT FRACTURE, WITH OR WITHOUT INTERNAL OR EXTERNAL FIXATION
25520|CLOSED TREATMENT OF RADIAL SHAFT FRACTURE AND CLOSED TREATMENT OF DISLOCATION OF DISTAL RADIOULNAR JOINT|CLOSED TREATMENT OF RADIAL SHAFT FRACTURE AND CLOSED TREATMENT OF DISLOCATION OF DISTAL RADIOULNAR JOINT
25525|OPEN TREATMENT OF RADIAL SHAFT FRACTURE, WITH INTERNAL AND/ OR EXTERNAL FIXATION AND CLOSED TREATMENT OF DISLOCATION OF DISTAL RADIOULNAR JOINT|OPEN TREATMENT OF RADIAL SHAFT FRACTURE, WITH INTERNAL AND/ OR EXTERNAL FIXATION AND CLOSED TREATMENT OF DISLOCATION OF DISTAL RADIOULNAR JOINT
25526|OPEN TREATMENT, RADIAL SHAFT FRACTURE, W INTERNAL &/ EXTERNAL FIXATION&OPEN TREATMENT, WWO INTERNAL/EXTERNAL FIXATION, DISTAL RADIOULNAR JOINT,|OPEN TREATMENT, RADIAL SHAFT FRACTURE, W INTERNAL &/ EXTERNAL FIXATION&OPEN TREATMENT, WWO INTERNAL/EXTERNAL FIXATION, DISTAL RADIOULNAR JOINT,
25530|CLOSED TREATMENT OF ULNAR SHAFT FRACTURE; WITHOUT MANIPULATION|CLOSED TREATMENT OF ULNAR SHAFT FRACTURE; WITHOUT MANIPULATION
25535|CLOSED TREATMENT OF ULNAR SHAFT FRACTURE; WITH MANIPULATION|CLOSED TREATMENT OF ULNAR SHAFT FRACTURE; WITH MANIPULATION
25545|OPEN TREATMENT OF ULNAR SHAFT FRACTURE, WITH OR WITHOUT INTERNAL OR EXTERNAL FIXATION|OPEN TREATMENT OF ULNAR SHAFT FRACTURE, WITH OR WITHOUT INTERNAL OR EXTERNAL FIXATION
25560|CLOSED TREATMENT OF RADIAL AND ULNAR SHAFT FRACTURES; WITHOUT MANIPULATION|CLOSED TREATMENT OF RADIAL AND ULNAR SHAFT FRACTURES; WITHOUT MANIPULATION
25565|CLOSED TREATMENT OF RADIAL AND ULNAR SHAFT FRACTURES; WITH MANIPULATION|CLOSED TREATMENT OF RADIAL AND ULNAR SHAFT FRACTURES; WITH MANIPULATION
25574|OPEN TREATMENT OF RADIAL AND ULNAR SHAFT FRACTURES, WITH INTERNAL OR EXTERNAL FIXATION; OF RADIUS OR ULNA|OPEN TREATMENT OF RADIAL AND ULNAR SHAFT FRACTURES, WITH INTERNAL OR EXTERNAL FIXATION; OF RADIUS OR ULNA
25575|OPEN TREATMENT OF RADIAL AND ULNAR SHAFT FRACTURES, WITH INTERNAL OR EXTERNAL FIXATION; OF RADIUS AND ULNA|OPEN TREATMENT OF RADIAL AND ULNAR SHAFT FRACTURES, WITH INTERNAL OR EXTERNAL FIXATION; OF RADIUS AND ULNA
25600|CLOSED TREATMENT OF DISTAL RADIAL FRACTURE (EG, COLLES OR SMITH TYPE) OR EPIPHYSEAL SEPARATION, WITH OR WITHOUT FRACTURE OF ULNAR STYLOID; WITH|CLOSED TREATMENT OF DISTAL RADIAL FRACTURE (EG, COLLES OR SMITH TYPE) OR EPIPHYSEAL SEPARATION, WITH OR WITHOUT FRACTURE OF ULNAR STYLOID; WITH
25605|CLOSED TREATMENT OF DISTAL RADIAL FRACTURE (EG, COLLES OR SMITH TYPE) OR EPIPHYSEAL SEPARATION, WITH OR WITHOUT FRACTURE OF ULNAR STYLOID; WITH|CLOSED TREATMENT OF DISTAL RADIAL FRACTURE (EG, COLLES OR SMITH TYPE) OR EPIPHYSEAL SEPARATION, WITH OR WITHOUT FRACTURE OF ULNAR STYLOID; WITH
25611|PERCUTANEOUS SKELETAL FIXATION OF DISTAL RADIAL FRACTURE (EG, COLLES OR SMITH TYPE) OR EPIPHYSEAL SEPARATION, WITH OR WITHOUT FRACTURE ULNAR ST|PERCUTANEOUS SKELETAL FIXATION OF DISTAL RADIAL FRACTURE (EG, COLLES OR SMITH TYPE) OR EPIPHYSEAL SEPARATION, WITH OR WITHOUT FRACTURE ULNAR ST
25620|OPEN TREATMENT OF DISTAL RADIAL FRACTURE (EG, COLLES OR SMITH TYPE) OR EPIPHYSEAL SEPARATION, WITH OR WITHOUT FRACTURE OF ULNAR STYLOID, WITH O|OPEN TREATMENT OF DISTAL RADIAL FRACTURE (EG, COLLES OR SMITH TYPE) OR EPIPHYSEAL SEPARATION, WITH OR WITHOUT FRACTURE OF ULNAR STYLOID, WITH O
25622|CLOSED TREATMENT OF CARPAL SCAPHOID (NAVICULAR) FRACTURE; WITHOUT MANIPULATION|CLOSED TREATMENT OF CARPAL SCAPHOID (NAVICULAR) FRACTURE; WITHOUT MANIPULATION
25624|CLOSED TREATMENT OF CARPAL SCAPHOID (NAVICULAR) FRACTURE; WITH MANIPULATION|CLOSED TREATMENT OF CARPAL SCAPHOID (NAVICULAR) FRACTURE; WITH MANIPULATION
25628|OPEN TREATMENT OF CARPAL SCAPHOID (NAVICULAR) FRACTURE, WITH OR WITHOUT INTERNAL OR EXTERNAL FIXATION|OPEN TREATMENT OF CARPAL SCAPHOID (NAVICULAR) FRACTURE, WITH OR WITHOUT INTERNAL OR EXTERNAL FIXATION
25630|CLOSED TREATMENT OF CARPAL BONE FRACTURE (EXCLUDING CARPAL SCAPHOID (NAVICULAR)); WITHOUT MANIPULATION, EACH BONE|CLOSED TREATMENT OF CARPAL BONE FRACTURE (EXCLUDING CARPAL SCAPHOID (NAVICULAR)); WITHOUT MANIPULATION, EACH BONE
25635|CLOSED TREATMENT OF CARPAL BONE FRACTURE (EXCLUDING CARPAL SCAPHOID (NAVICULAR)); WITH MANIPULATION, EACH BONE|CLOSED TREATMENT OF CARPAL BONE FRACTURE (EXCLUDING CARPAL SCAPHOID (NAVICULAR)); WITH MANIPULATION, EACH BONE
25645|OPEN TREATMENT OF CARPAL BONE FRACTURE, EACH BONE|OPEN TREATMENT OF CARPAL BONE FRACTURE, EACH BONE
25650|CLOSED TREATMENT OF ULNAR STYLOID FRACTURE|CLOSED TREATMENT OF ULNAR STYLOID FRACTURE
25651|PERCUTANEOUS SKELETAL FIXATION OF ULNAR STYLOID FRACTURE|PERCUTANEOUS SKELETAL FIXATION OF ULNAR STYLOID FRACTURE
25652|OPEN TREATMENT OF ULNAR STYLOID FRACTURE|OPEN TREATMENT OF ULNAR STYLOID FRACTURE
25660|CLOSED TREATMENT OF RADIOCARPAL OR INTERCARPAL DISLOCATION, ONE OR MORE BONES, WITH MANIPULATION|CLOSED TREATMENT OF RADIOCARPAL OR INTERCARPAL DISLOCATION, ONE OR MORE BONES, WITH MANIPULATION
25670|OPEN TREATMENT OF RADIOCARPAL OR INTERCARPAL DISLOCATION, ONE OR MORE BONES|OPEN TREATMENT OF RADIOCARPAL OR INTERCARPAL DISLOCATION, ONE OR MORE BONES
25671|PERCUTANEOUS SKELETAL FIXATION OF DISTAL RADIOULNAR DISLOCATION|PERCUTANEOUS SKELETAL FIXATION OF DISTAL RADIOULNAR DISLOCATION
25675|CLOSED TREATMENT OF DISTAL RADIOULNAR DISLOCATION WITH MANIPULATION|CLOSED TREATMENT OF DISTAL RADIOULNAR DISLOCATION WITH MANIPULATION
25676|OPEN TREATMENT OF DISTAL RADIOULNAR DISLOCATION, ACUTE OR CHRONIC|OPEN TREATMENT OF DISTAL RADIOULNAR DISLOCATION, ACUTE OR CHRONIC
25680|CLOSED TREATMENT OF TRANS-SCAPHOPERILUNAR TYPE OF FRACTURE DISLOCATION, WITH MANIPULATION|CLOSED TREATMENT OF TRANS-SCAPHOPERILUNAR TYPE OF FRACTURE DISLOCATION, WITH MANIPULATION
25685|OPEN TREATMENT OF TRANS-SCAPHOPERILUNAR TYPE OF FRACTURE DISLOCATION|OPEN TREATMENT OF TRANS-SCAPHOPERILUNAR TYPE OF FRACTURE DISLOCATION
25690|CLOSED TREATMENT OF LUNATE DISLOCATION, WITH MANIPULATION|CLOSED TREATMENT OF LUNATE DISLOCATION, WITH MANIPULATION
25695|OPEN TREATMENT OF LUNATE DISLOCATION|OPEN TREATMENT OF LUNATE DISLOCATION
25800|ARTHRODESIS, WRIST; COMPLETE, WITHOUT BONE GRAFT (INCLUDES RADIOCARPAL AND/OR INTERCARPAL AND/OR CARPOMETACARPAL JOINTS)|ARTHRODESIS, WRIST; COMPLETE, WITHOUT BONE GRAFT (INCLUDES RADIOCARPAL AND/OR INTERCARPAL AND/OR CARPOMETACARPAL JOINTS)
25805|ARTHRODESIS, WRIST JOINT (INCLUDING RADIOCARPAL AND/OR ULNOCARPAL FUSION); WITH SLIDING GRAFT|ARTHRODESIS, WRIST JOINT (INCLUDING RADIOCARPAL AND/OR ULNOCARPAL FUSION); WITH SLIDING GRAFT
25810|ARTHRODESIS, WRIST JOINT (INCLUDING RADIOCARPAL AND/OR ULNOCARPAL FUSION); WITH ILIAC OR OTHER AUTOGRAFT (INCLUDES OBTAINING GRAFT)|ARTHRODESIS, WRIST JOINT (INCLUDING RADIOCARPAL AND/OR ULNOCARPAL FUSION); WITH ILIAC OR OTHER AUTOGRAFT (INCLUDES OBTAINING GRAFT)
25820|ARTHRODESIS, WRIST; LIMITED, WITHOUT BONE GRAFT (EG, INTERCARPAL OR RADIOCARPAL)|ARTHRODESIS, WRIST; LIMITED, WITHOUT BONE GRAFT (EG, INTERCARPAL OR RADIOCARPAL)
25825|INTERCARPAL FUSION; WITH AUTOGRAFT (INCLUDES OBTAINING GRAFT)|INTERCARPAL FUSION; WITH AUTOGRAFT (INCLUDES OBTAINING GRAFT)
25830|ARTHRODESIS, DISTAL RADIOULNAR JOINT WITH SEGMENTAL RESECTION OF ULNA, WITH OR WITHOUT BONE GRAFT (EG, SAUVE-KAPANDJI PROCEDURE)|ARTHRODESIS, DISTAL RADIOULNAR JOINT WITH SEGMENTAL RESECTION OF ULNA, WITH OR WITHOUT BONE GRAFT (EG, SAUVE-KAPANDJI PROCEDURE)
25900|AMPUTATION, FOREARM, THROUGH RADIUS AND ULNA;|AMPUTATION, FOREARM, THROUGH RADIUS AND ULNA;
25905|AMPUTATION, FOREARM, THROUGH RADIUS AND ULNA; OPEN, CIRCULAR (GUILLOTINE)|AMPUTATION, FOREARM, THROUGH RADIUS AND ULNA; OPEN, CIRCULAR (GUILLOTINE)
25907|AMPUTATION, FOREARM, THROUGH RADIUS AND ULNA; SECONDARY CLOSURE OR SCAR REVISION|AMPUTATION, FOREARM, THROUGH RADIUS AND ULNA; SECONDARY CLOSURE OR SCAR REVISION
25909|AMPUTATION, FOREARM, THROUGH RADIUS AND ULNA; RE-AMPUTATION|AMPUTATION, FOREARM, THROUGH RADIUS AND ULNA; RE-AMPUTATION
25915|KRUKENBERG PROCEDURE|KRUKENBERG PROCEDURE
25920|DISARTICULATION THROUGH WRIST;|DISARTICULATION THROUGH WRIST;
25922|DISARTICULATION THROUGH WRIST; SECONDARY CLOSURE OR SCAR REVISION|DISARTICULATION THROUGH WRIST; SECONDARY CLOSURE OR SCAR REVISION
25924|DISARTICULATION THROUGH WRIST; RE-AMPUTATION|DISARTICULATION THROUGH WRIST; RE-AMPUTATION
25927|TRANSMETACARPAL AMPUTATION;|TRANSMETACARPAL AMPUTATION;
25929|TRANSMETACARPAL AMPUTATION; SECONDARY CLOSURE OR SCAR REVISION|TRANSMETACARPAL AMPUTATION; SECONDARY CLOSURE OR SCAR REVISION
25931|TRANSMETACARPAL AMPUTATION; RE-AMPUTATION|TRANSMETACARPAL AMPUTATION; RE-AMPUTATION
25999|UNLISTED PROCEDURE, FOREARM OR WRIST|UNLISTED PROCEDURE, FOREARM OR WRIST
26010|DRAINAGE OF FINGER ABSCESS; SIMPLE|DRAINAGE OF FINGER ABSCESS; SIMPLE
26011|DRAINAGE OF FINGER ABSCESS; COMPLICATED (EG, FELON)|DRAINAGE OF FINGER ABSCESS; COMPLICATED (EG, FELON)
26020|DRAINAGE OF TENDON SHEATH, DIGIT AND/OR PALM, EACH|DRAINAGE OF TENDON SHEATH, DIGIT AND/OR PALM, EACH
26025|DRAINAGE OF PALMAR BURSA; SINGLE, BURSA|DRAINAGE OF PALMAR BURSA; SINGLE, BURSA
26030|DRAINAGE OF PALMAR BURSA; MULTIPLE BURSA|DRAINAGE OF PALMAR BURSA; MULTIPLE BURSA
26034|INCISION, BONE CORTEX, HAND OR FINGER (EG, OSTEOMYELITIS OR BONE ABSCESS)|INCISION, BONE CORTEX, HAND OR FINGER (EG, OSTEOMYELITIS OR BONE ABSCESS)
26035|DECOMPRESSION FINGERS AND/OR HAND, INJECTION INJURY (EG, GREASE GUN)|DECOMPRESSION FINGERS AND/OR HAND, INJECTION INJURY (EG, GREASE GUN)
26037|DECOMPRESSIVE FASCIOTOMY, HAND (EXCLUDES 26035)|DECOMPRESSIVE FASCIOTOMY, HAND (EXCLUDES 26035)
26040|FASCIOTOMY, PALMAR (EG, DUPUYTREN'S CONTRACTURE); PERCUTANEOUS|FASCIOTOMY, PALMAR (EG, DUPUYTREN'S CONTRACTURE); PERCUTANEOUS
26045|FASCIOTOMY, PALMAR, FOR DUPUYTREN'S CONTRACTURE; OPEN, PARTIAL|FASCIOTOMY, PALMAR, FOR DUPUYTREN'S CONTRACTURE; OPEN, PARTIAL
26055|TENDON SHEATH INCISION (EG, FOR TRIGGER FINGER)|TENDON SHEATH INCISION (EG, FOR TRIGGER FINGER)
26060|TENOTOMY, PERCUTANEOUS, SINGLE, EACH DIGIT|TENOTOMY, PERCUTANEOUS, SINGLE, EACH DIGIT
26070|ARTHROTOMY, WITH EXPLORATION, DRAINAGE, OR REMOVAL OF LOOSE OR FOREIGN BODY; CARPOMETACARPAL JOINT|ARTHROTOMY, WITH EXPLORATION, DRAINAGE, OR REMOVAL OF LOOSE OR FOREIGN BODY; CARPOMETACARPAL JOINT
26075|ARTHROTOMY, WITH EXPLORATION, DRAINAGE, OR REMOVAL OF LOOSE OR FOREIGN BODY; METACARPOPHALANGEAL JOINT, EACH|ARTHROTOMY, WITH EXPLORATION, DRAINAGE, OR REMOVAL OF LOOSE OR FOREIGN BODY; METACARPOPHALANGEAL JOINT, EACH
