CPT_LONG_DESCRIPTION|CPT_ADD_NOTE|CPT_CODE|CPT_SHORT_DESCRIPTION
CYSTOURETHROSCOPY; WITH RESECTION OR FULGURATION OF ORTHOTOPIC URETEROCELE(S), UNILATERAL OR BILATERAL||52300|CYSTOSCOPY AND TREATMENT
CYSTOURETHROSCOPY; WITH RESECTION OR FULGURATION OF ECTOPIC URETEROCELE(S), UNILATERAL OR BILATERAL||52301|CYSTOSCOPY AND TREATMENT
CYSTOURETHROSCOPY; WITH INCISION OR RESECTION OF ORIFICE OF BLADDER DIVERTICULUM, SINGLE OR MULTIPLE||52305|CYSTOSCOPY AND TREATMENT
CYSTOURETHROSCOPY, WITH REMOVAL OF FOREIGN BODY, CALCULUS, OR URETERAL STENT FROM URETHRA OR BLADDER (SEPARATE PROCEDURE); SIMPLE||52310|CYSTOSCOPY AND TREATMENT
CYSTOURETHROSCOPY, WITH REMOVAL OF FOREIGN BODY, CALCULUS, OR URETERAL STENT FROM URETHRA OR BLADDER (SEPARATE PROCEDURE); COMPLICATED||52315|CYSTOSCOPY AND TREATMENT
LITHOLAPAXY: CRUSHING OR FRAGMENTATION OF CALCULUS BY ANY MEANS IN BLADDER AND REMOVAL OF FRAGMENTS; SIMPLE OR SMALL (LESS THAN 2.5 CM)||52317|REMOVE BLADDER STONE
LITHOLAPAXY: CRUSHING OR FRAGMENTATION OF CALCULUS BY ANY MEANS IN BLADDER AND REMOVAL OF FRAGMENTS; COMPLICATED OR LARGE (OVER 2.5 CM)||52318|REMOVE BLADDER STONE
CYSTOURETHROSCOPY (INCLUDING URETERAL CATHETERIZATION); WITH REMOVAL OF URETERAL CALCULUS||52320|CYSTOSCOPY AND TREATMENT
CYSTOURETHROSCOPY (INCLUDING URETERAL CATHETERIZATION); WITH FRAGMENTATION OF URETERAL CALCULUS (EG, ULTRASONIC OR ELECTRO-HYDRAULIC TECHNIQUE)||52325|CYSTOSCOPY, STONE REMOVAL
CYSTOURETHROSCOPY (INCLUDING URETERAL CATHETERIZATION); WITH SUBURETERIC INJECTION OF IMPLANT MATERIAL||52327|CYSTOSCOPY, INJECT MATERIAL
CYSTOURETHROSCOPY (INCLUDING URETERAL CATHETERIZATION); WITH MANIPULATION, WITHOUT REMOVAL OF URETERAL CALCULUS||52330|CYSTOSCOPY AND TREATMENT
CYSTOURETHROSCOPY, WITH INSERTION OF INDWELLING URETERAL STENT (EG, GIBBONS OR DOUBLE-J TYPE)||52332|CYSTOSCOPY AND TREATMENT
CYSTOURETHROSCOPY WITH INSERTION OF URETERAL GUIDE WIRE THROUGH KIDNEY TO ESTABLISH A PERCUTANEOUS NEPHROSTOMY, RETROGRADE||52334|CREATE PASSAGE TO KIDNEY
CYSTOURETHROSCOPY; WITH TREATMENT OF URETERAL STRICTURE (EG, BALLOON DILATION, LASER, ELECTROCAUTERY, AND INCISION)||52341|CYSTOURETHRO;TREAT,URETER STRC
CYSTOURETHROSCOPY; WITH TREATMENT OF URETEROPELVIC JUNCTION STRICTURE (EG, BALLOON DILATION, LASER, ELECTROCAUTERY, AND INCISION)||52342|CYSTOURETHRO;TREAT,URETEROPELV
CYSTOURETHROSCOPY; WITH TREATMENT OF INTRA-RENAL STRICTURE (EG, BALLOON DILATION, LASER, ELECTROCAUTERY, AND INCISION)||52343|CYSTOURETHRO;TREAT,INTRA-RENAL
CYSTOURETHROSCOPY WITH URETEROSCOPY; WITH TREATMENT OF URETERAL STRICTURE (EG, BALLOON DILATION, LASER, ELECTROCAUTERY, AND INCISION)||52344|CYSTOURETHRO,URETRSCPY;URETERL
CYSTOURETHROSCOPY WITH URETEROSCOPY; WITH TREATMENT OF URETEROPELVIC JUNCTION STRICTURE (EG, BALLOON DILATION, LASER, ELECTROCAUTERY, AND INCIS|ION|52345|CYSTOURETHR,URTRSCOP;URETERPLV
CYSTOURETHROSCOPY WITH URETEROSCOPY; WITH TREATMENT OF INTRA-RENAL STRICTURE (EG, BALLOON DILATION, LASER, ELECTROCAUTERY, AND INCISION)||52346|CYSTOURETHR,URTRSCP;INTRA-RENL
CYSTOURETHROSCOPY WITH TRANSURETHRAL RESECTION OR INCISION OF EJACULATORY DUCTS||52347|CYSTOSCOPY, RESECT DUCTS
CYSTOURETHROSCOPY, WITH URETEROSCOPY AND/OR PYELOSCOPY; DIAGNOSTIC||52351|CYSTOURET,URETEROS,PYELOS;DIAG
CYSTOURETHROSCOPY, WITH URETEROSCOPY AND/OR PYELOSCOPY; WITH REMOVAL OR MANIPULATION OF CALCULUS (URETERAL CATHETERIZATION IS INCLUDED)||52352|CYSTOURE,URTRSC,PYELOS;REM/MAN
CYSTOURETHROSCOPY, WITH URETEROSCOPY AND/OR PYELOSCOPY; WITH LITHOTRIPSY (URETERAL CATHETERIZATION IS INCLUDED)||52353|CYSTOURE,URTRSC,PYELS;LTHTRPSY
CYSTOURETHROSCOPY, WITH URETEROSCOPY AND/OR PYELOSCOPY; WITH BIOPSY AND/OR FULGURATION OF URETERAL OR RENAL PELVIC LESION||52354|CYSTOURETHROSCOPY W/BIOPSY
CYSTOURETHROSCOPY, WITH URETEROSCOPY AND/OR PYELOSCOPY; WITH RESECTION OF URETERAL OR RENAL PELVIC TUMOR||52355|CYSTOURETHROSCOPY W/RESECTION
CYSTOURETHROSCOPY WITH INCISION, FULGURATION, OR RESECTION OF CONGENITAL POSTERIOR URETHRAL VALVES, OR CONGENITAL OBSTRUCTIVE HYPERTROPHIC MUCO|SAL|52400|CYSTOUR,INC,FLGR/RESC VAL/FOLD
TRANSURETHRAL INCISION OF PROSTATE||52450|INCISION OF PROSTATE
TRANSURETHRAL RESECTION OF BLADDER NECK (SEPARATE PROCEDURE)||52500|REVISION OF BLADDER NECK
TRANSURETHRAL BALLOON DILATION OF THE PROSTATIC URETHRA||52510|DILATION PROSTATIC URETHRA
TRANSURETHRAL ELECTROSURGICAL RESECTION PROSTATE, INC CONTROL OF POSTOPERATIVE BLEEDING, COMPLETE (VASECTOMY, MEATOTOMY, CYSTOURETHROSCOPY, URE|THR|52601|PROSTATECTOMY (TURP)
TRANSURETHRAL FULGURATION FOR POSTOPERATIVE BLEEDING OCCURRING AFTER THE USUAL FOLLOW-UP TIME||52606|CONTROL POSTOP BLEEDING
TRANSURETHRAL RESECTION OF PROSTATE; FIRST STAGE OF TWO-STAGE RESECTION (PARTIAL RESECTION)||52612|PROSTATECTOMY, FIRST STAGE
TRANSURETHRAL RESECTION OF PROSTATE; SECOND STAGE OF TWO-STAGE RESECTION (RESECTION COMPLETED)||52614|PROSTATECTOMY, SECOND STAGE
TRANSURETHRAL RESECTION; OF RESIDUAL OBSTRUCTIVE TISSUE AFTER 90 DAYS POSTOPERATIVE||52620|REMOVE RESIDUAL PROSTATE
TRANSURETHRAL RESECTION; OF REGROWTH OF OBSTRUCTIVE TISSUE LONGER THAN ONE YEAR POSTOPERATIVE||52630|REMOVE PROSTATE REGROWTH
TRANSURETHRAL RESECTION; OF POSTOPERATIVE BLADDER NECK CONTRACTURE||52640|RELIEVE BLADDER CONTRACTURE
NON-CONTACT LASER COAGULATION OF PROSTATE, INCLUDING CONTROL OF POSTOPERATIVE BLEEDING, COMPLETE (VASECTOMY, MEATOTOMY, CYSTOURETHROSCOPY, URET|HRA|52647|LASER SURGERY OF PROSTATE
CONTACT LASER VAPORIZATION W W/O TRANSURETHRAL RESECTION PROSTATE, INC CONTROL POSTOPERATIVE BLEEDING, COMPLETE (VASECTOMY, MEATOTOMY, CYSTOURE|THR|52648|LASER SURGERY OF PROSTATE
TRANSURETHRAL DRAINAGE OF PROSTATIC ABSCESS||52700|DRAINAGE OF PROSTATE ABSCESS
URETHROTOMY OR URETHROSTOMY, EXTERNAL (SEPARATE PROCEDURE); PENDULOUS URETHRA||53000|INCISION OF URETHRA
URETHROTOMY OR URETHROSTOMY, EXTERNAL (SEPARATE PROCEDURE); PERINEAL URETHRA, EXTERNAL||53010|INCISION OF URETHRA
MEATOTOMY, CUTTING OF MEATUS (SEPARATE PROCEDURE); EXCEPT INFANT||53020|INCISION OF URETHRA
MEATOTOMY, CUTTING OF MEATUS (SEPARATE PROCEDURE); INFANT||53025|INCISION OF URETHRA
DRAINAGE OF DEEP PERIURETHRAL ABSCESS||53040|DRAINAGE OF URETHRA ABSCESS
DRAINAGE OF SKENE'S GLAND ABSCESS OR CYST||53060|DRAINAGE OF URETHRA ABSCESS
DRAINAGE OF PERINEAL URINARY EXTRAVASATION; UNCOMPLICATED (SEPARATE PROCEDURE)||53080|DRAINAGE OF URINARY LEAKAGE
DRAINAGE OF PERINEAL URINARY EXTRAVASATION; COMPLICATED||53085|DRAINAGE OF URINARY LEAKAGE
BIOPSY OF URETHRA||53200|BIOPSY OF URETHRA
URETHRECTOMY, TOTAL, INCLUDING CYSTOSTOMY; FEMALE||53210|REMOVAL OF URETHRA
URETHRECTOMY, TOTAL, INCLUDING CYSTOSTOMY; MALE||53215|REMOVAL OF URETHRA
EXCISION OR FULGURATION OF CARCINOMA OF URETHRA||53220|TREATMENT OF URETHRA LESION
EXCISION OF URETHRAL DIVERTICULUM (SEPARATE PROCEDURE); FEMALE||53230|REMOVAL OF URETHRA LESION
EXCISION OF URETHRAL DIVERTICULUM (SEPARATE PROCEDURE); MALE||53235|REMOVAL OF URETHRA LESION
MARSUPIALIZATION OF URETHRAL DIVERTICULUM, MALE OR FEMALE||53240|SURGERY FOR URETHRA POUCH
EXCISION OF BULBOURETHRAL GLAND (COWPER'S GLAND)||53250|REMOVAL OF URETHRA GLAND
EXCISION OR FULGURATION; URETHRAL POLYP(S), DISTAL URETHRA||53260|TREATMENT OF URETHRA LESION
EXCISION OR FULGURATION; URETHRAL CARUNCLE||53265|TREATMENT OF URETHRA LESION
EXCISION OR FULGURATION; SKENE'S GLANDS||53270|REMOVAL OF URETHRA GLAND
EXCISION OR FULGURATION; URETHRAL PROLAPSE||53275|REPAIR OF URETHRA DEFECT
URETHROPLASTY; FIRST STAGE, FOR FISTULA, DIVERTICULUM, OR STRICTURE (EG, JOHANNSEN TYPE)||53400|REVISE URETHRA, STAGE 1
URETHROPLASTY; SECOND STAGE (FORMATION OF URETHRA), INCLUDING URINARY DIVERSION||53405|REVISE URETHRA, STAGE 2
URETHROPLASTY, ONE-STAGE RECONSTRUCTION OF MALE ANTERIOR URETHRA||53410|RECONSTRUCTION OF URETHRA
URETHROPLASTY, TRANSPUBIC OR PERINEAL, ONE STAGE, FOR RECONSTRUCTION OR REPAIR OF PROSTATIC OR MEMBRANOUS URETHRA||53415|RECONSTRUCTION OF URETHRA
URETHROPLASTY, TWO-STAGE RECONSTRUCTION OR REPAIR OF PROSTATIC OR MEMBRANOUS URETHRA; FIRST STAGE||53420|RECONSTRUCT URETHRA, STAGE 1
URETHROPLASTY, TWO-STAGE RECONSTRUCTION OR REPAIR OF PROSTATIC OR MEMBRANOUS URETHRA; SECOND STAGE||53425|RECONSTRUCT URETHRA, STAGE 2
URETHROPLASTY, RECONSTRUCTION OF FEMALE URETHRA||53430|RECONSTRUCTION OF URETHRA
URETHROPLASTY WITH TUBULARIZATION OF POSTERIOR URETHRA AND/OR LOWER BLADDER FOR INCONTINENCE (EG, TENAGO, LEADBETTER PROCEDURE)||53431|RECONSTRUCT URETHRA/BLADDER
SLING OPERATION FOR CORRECTION OF MALE URINARY INCONTINENCE (EG, FASCIA OR SYNTHETIC)||53440|SLNG OPERAT MALE URINARY INCON
REMOVAL OR REVISION OF SLING FOR MALE URINARY INCONTINENCE (EG, FASCIA OR SYNTHETIC)||53442|REMOVE/REVISE SLING MALE URNRY
INSERTION OF TANDEM CUFF (DUAL CUFF)||53444|INSERT TANDEM CUFF
INSERTION OF INFLATABLE URETHRAL/BLADDER NECK SPHINCTER, INCLUDING PLACEMENT OF PUMP, RESERVOIR, AND CUFF||53445|INSERT URO/VES NCK SPHINCTER
REMOVAL OF INFLATABLE URETHRAL/BLADDER NECK SPHINCTER, INCLUDING PUMP, RESERVOIR, AND CUFF||53446|REMOVE URO SPHINCTER
REMOVAL AND REPLACEMENT OF INFLATABLE URETHRAL/BLADDER NECK SPHINCTER INCLUDING PUMP, RESERVOIR, AND CUFF AT THE SAME OPERATIVE SESSION||53447|REMOVE/REPLACE UR SPHINCTER
REMOVAL&REPLACEMENT, INFLATABLE URETHRAL/BLADDER NECK SPHINCTER INCLUDING PUMP, RESERVOIR,&CUFF THRU AN INFECTED FIELD AT THE SAME OPERATIVE SE|SSI|53448|REMOV/REPLC UR SPHINCTR COMP
REPAIR OF INFLATABLE URETHRAL/BLADDER NECK SPHINCTER, INCLUDING PUMP, RESERVOIR, AND CUFF||53449|REPAIR URO SPHINCTER
URETHROMEATOPLASTY, WITH MUCOSAL ADVANCEMENT||53450|REVISION OF URETHRA
URETHROMEATOPLASTY, WITH PARTIAL EXCISION OF DISTAL URETHRAL SEGMENT (RICHARDSON TYPE PROCEDURE)||53460|REVISION OF URETHRA
URETHRORRHAPHY, SUTURE OF URETHRAL WOUND OR INJURY, FEMALE||53502|REPAIR OF URETHRA INJURY
URETHRORRHAPHY, SUTURE OF URETHRAL WOUND OR INJURY; PENILE||53505|REPAIR OF URETHRA INJURY
URETHRORRHAPHY, SUTURE OF URETHRAL WOUND OR INJURY; PERINEAL||53510|REPAIR OF URETHRA INJURY
URETHRORRHAPHY, SUTURE OF URETHRAL WOUND OR INJURY; PROSTATOMEMBRANOUS||53515|REPAIR OF URETHRA INJURY
CLOSURE OF URETHROSTOMY OR URETHROCUTANEOUS FISTULA, MALE (SEPARATE PROCEDURE)||53520|REPAIR OF URETHRA DEFECT
DILATION OF URETHRAL STRICTURE BY PASSAGE OF SOUND OR URETHRAL DILATOR, MALE; INITIAL||53600|DILATE URETHRA STRICTURE
DILATION OF URETHRAL STRICTURE BY PASSAGE OF SOUND OR URETHRAL DILATOR, MALE; SUBSEQUENT||53601|DILATE URETHRA STRICTURE
DILATION OF URETHRAL STRICTURE OR VESICAL NECK BY PASSAGE OF SOUND OR URETHRAL DILATOR, MALE, GENERAL OR CONDUCTION (SPINAL) ANESTHESIA||53605|DILATE URETHRA STRICTURE
DILATION OF URETHRAL STRICTURE BY PASSAGE OF FILIFORM AND FOLLOWER, MALE; INITIAL||53620|DILATE URETHRA STRICTURE
DILATION OF URETHRAL STRICTURE BY PASSAGE OF FILIFORM AND FOLLOWER, MALE; SUBSEQUENT||53621|DILATE URETHRA STRICTURE
DILATION OF FEMALE URETHRA INCLUDING SUPPOSITORY AND/OR INSTILLATION; INITIAL||53660|DILATION OF URETHRA
DILATION OF FEMALE URETHRA INCLUDING SUPPOSITORY AND/OR INSTILLATION; SUBSEQUENT||53661|DILATION OF URETHRA
DILATION OF FEMALE URETHRA, GENERAL OR CONDUCTION (SPINAL) ANESTHESIA||53665|DILATION OF URETHRA
TRANSURETHRAL DESTRUCTION OF PROSTATE TISSUE; BY MICROWAVE THERMOTHERAPY||53850|PROSTATIC MICROWAVE THERMOTX
TRANSURETHRAL DESTRUCTION OF PROSTATE TISSUE; BY RADIOFREQUENCY THERMOTHERAPY||53852|PROSTATIC RF THERMOTX
TRANSURETHRAL DESTRUCTION OF PROSTATE TISSUE; BY WATER-INDUCED THERMOTHERAPY||53853|PROSTATIC WATER THERMOTHER
UNLISTED PROCEDURE, URINARY SYSTEM||53899|UROLOGY SURGERY PROCEDURE
SLITTING OF PREPUCE, DORSAL OR LATERAL (SEPARATE PROCEDURE); NEWBORN||54000|SLITTING OF PREPUCE
SLITTING OF PREPUCE, DORSAL OR LATERAL (SEPARATE PROCEDURE); EXCEPT NEWBORN||54001|SLITTING OF PREPUCE
INCISION AND DRAINAGE OF PENIS, DEEP||54015|DRAIN PENIS LESION
DESTRUCTION OF LESION(S), PENIS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), SIMPLE; CHEMICAL||54050|DESTRUCTION, PENIS LESION(S)
DESTRUCTION OF LESION(S), PENIS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), SIMPLE; ELECTRODESICCATION||54055|DESTRUCTION, PENIS LESION(S)
DESTRUCTION OF LESION(S), PENIS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), SIMPLE; CRYOSURGERY||54056|CRYOSURGERY, PENIS LESION(S)
DESTRUCTION OF LESION(S), PENIS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), SIMPLE; LASER SURGERY||54057|LASER SURG, PENIS LESION(S)
DESTRUCTION OF LESION(S), PENIS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), SIMPLE; SURGICAL EXCISION||54060|EXCISION OF PENIS LESION(S)
DESTRUCTION OF LESION(S), PENIS (EG, CONDYLOMA, PAPILLOMA, MOLLUSCUM CONTAGIOSUM, HERPETIC VESICLE), EXTENSIVE (EG, LASER SURGERY, ELECTROSURGE|"RY,"|54065|DESTRUCTION, PENIS LESION(S)
BIOPSY OF PENIS (SEPARATE PROCEDURE)||54100|BIOPSY OF PENIS
BIOPSY OF PENIS; DEEP STRUCTURES||54105|BIOPSY OF PENIS
EXCISION OF PENILE PLAQUE (PEYRONIE DISEASE);||54110|TREATMENT OF PENIS LESION
EXCISION OF PENILE PLAQUE (PEYRONIE DISEASE); WITH GRAFT TO 5 CM IN LENGTH||54111|TREAT PENIS LESION, GRAFT
EXCISION OF PENILE PLAQUE (PEYRONIE DISEASE); WITH GRAFT GREATER THAN 5 CM IN LENGTH||54112|TREAT PENIS LESION, GRAFT
REMOVAL FOREIGN BODY FROM DEEP PENILE TISSUE (EG, PLASTIC IMPLANT)||54115|TREATMENT OF PENIS LESION
AMPUTATION OF PENIS; PARTIAL||54120|PARTIAL REMOVAL OF PENIS
AMPUTATION OF PENIS; COMPLETE||54125|REMOVAL OF PENIS
AMPUTATION OF PENIS, RADICAL; WITH BILATERAL INGUINOFEMORAL LYMPHADENECTOMY||54130|REMOVE PENIS & NODES
AMPUTATION OF PENIS, RADICAL; IN CONTINUITY WITH BILATERAL PELVIC LYMPHADENECTOMY, INCLUDING EXTERNAL ILIAC, HYPOGASTRIC AND OBTURATOR NODES||54135|REMOVE PENIS & NODES
CIRCUMCISION, USING CLAMP OR OTHER DEVICE; NEWBORN||54150|CIRCUMCISION
CIRCUMCISION, USING CLAMP OR OTHER DEVICE; EXCEPT NEWBORN||54152|CIRCUMCISION
CIRCUMCISION, SURGICAL EXCISION OTHER THAN CLAMP, DEVICE OR DORSAL SLIT; NEWBORN||54160|CIRCUMCISION
CIRCUMCISION, SURGICAL EXCISION OTHER THAN CLAMP, DEVICE OR DORSAL SLIT; EXCEPT NEWBORN||54161|CIRCUMCISION
LYSIS OR EXCISION OF PENILE POST-CIRCUMCISION ADHESIONS||54162|LYSIS PENIL CIRCUMCIS LESION
REPAIR INCOMPLETE CIRCUMCISION||54163|REPAIR OF CIRCUMCISION
FRENULOTOMY OF PENIS||54164|FRENULOTOMY OF PENIS
INJECTION PROCEDURE FOR PEYRONIE DISEASE;||54200|TREATMENT OF PENIS LESION
INJECTION PROCEDURE FOR PEYRONIE DISEASE; WITH SURGICAL EXPOSURE OF PLAQUE||54205|TREATMENT OF PENIS LESION
IRRIGATION OF CORPORA CAVERNOSA FOR PRIAPISM||54220|TREATMENT OF PENIS LESION
INJECTION PROCEDURE FOR CORPORA CAVERNOSOGRAPHY||54230|PREPARE PENIS STUDY
DYNAMIC CAVERNOSOMETRY, INCLUDING INTRACAVERNOSAL INJECTION OF VASOACTIVE DRUGS (EG, PAPAVERINE, PHENTOLAMINE)||54231|DYNAMIC CAVERNOSOMETRY
INJECTION OF CORPORA CAVERNOSA WITH PHARMACOLOGIC AGENT(S) (EG, PAPAVERINE, PHENTOLAMINE)||54235|PENILE INJECTION
PENILE PLETHYSMOGRAPHY||54240|PENIS STUDY
NOCTURNAL PENILE TUMESCENCE AND/OR RIGIDITY TEST||54250|PENIS STUDY
PLASTIC OPERATION OF PENIS FOR STRAIGHTENING OF CHORDEE (EG, HYPOSPADIAS), WITH OR WITHOUT MOBILIZATION OF URETHRA||54300|REVISION OF PENIS
PLASTIC OPERATION ON PENIS FOR CORRECTION OF CHORDEE OR FOR FIRST STAGE HYPOSPADIAS REPAIR WITH OR WITHOUT TRANSPLANTATION OF PREPUCE AND/OR SK|IN|54304|REVISION OF PENIS
URETHROPLASTY FOR SECOND STAGE HYPOSPADIAS REPAIR (INCLUDING URINARY DIVERSION); LESS THAN 3 CM||54308|RECONSTRUCTION OF URETHRA
URETHROPLASTY FOR SECOND STAGE HYPOSPADIAS REPAIR (INCLUDING URINARY DIVERSION); GREATER THAN 3 CM||54312|RECONSTRUCTION OF URETHRA
URETHROPLASTY FOR SECOND STAGE HYPOSPADIAS REPAIR (INCLUDING URINARY DIVERSION) WITH FREE SKIN GRAFT OBTAINED FROM SITE OTHER THAN GENITALIA||54316|RECONSTRUCTION OF URETHRA
URETHROPLASTY FOR THIRD STAGE HYPOSPADIAS REPAIR TO RELEASE PENIS FROM SCROTUM (EG, THIRD STAGE CECIL REPAIR)||54318|RECONSTRUCTION OF URETHRA
ONE STAGE DISTAL HYPOSPADIAS REPAIR (WITH OR WITHOUT CHORDEE OR CIRCUMCISION); WITH SIMPLE MEATAL ADVANCEMENT (EG, MAGPI, V-FLAP)||54322|RECONSTRUCTION OF URETHRA
ONE STAGE DISTAL HYPOSPADIAS REPAIR (WITH OR WITHOUT CHORDEE OR CIRCUMCISION); WITH URETHROPLASTY BY LOCAL SKIN FLAPS (EG, FLIP-FLAP, PREPUCIAL|FL|54324|RECONSTRUCTION OF URETHRA
ONE STAGE DISTAL HYPOSPADIAS REPAIR (WITH OR WITHOUT CHORDEE OR CIRCUMCISION); WITH URETHROPLASTY BY LOCAL SKIN FLAPS AND MOBILIZATION OF URETH|RA|54326|RECONSTRUCTION OF URETHRA
ONE STAGE DISTAL HYPOSPADIAS REPAIR (WITH OR WITHOUT CHORDEE OR CIRCUMCISION); WITH EXTENSIVE DISSECTION TO CORRECT CHORDEE AND URETHROPLASTY W|ITH|54328|REVISE PENIS/URETHRA
ONE STAGE PROXIMAL PENILE OR PENOSCROTAL HYPOSPADIAS REPAIR REQUIRING EXTENSIVE DISSECTION TO CORRECT CHORDEE AND URETHROPLASTY BY USE OF SKIN|GRA|54332|REVISE PENIS/URETHRA
ONE STAGE PERINEAL HYPOSPADIAS REPAIR REQUIRING EXTENSIVE DISSECTION TO CORRECT CHORDEE AND URETHROPLASTY BY USE OF SKIN GRAFT TUBE AND/OR ISLA|ND|54336|REVISE PENIS/URETHRA
REPAIR OF HYPOSPADIAS COMPLICATIONS (IE, FISTULA, STRICTURE, DIVERTICULA); BY CLOSURE, INCISION, OR EXCISION, SIMPLE||54340|SECONDARY URETHRAL SURGERY
REPAIR OF HYPOSPADIAS COMPLICATIONS (IE, FISTULA, STRICTURE, DIVERTICULA); REQUIRING MOBILIZATION OF SKIN FLAPS AND URETHROPLASTY WITH FLAP OR|PAT|54344|SECONDARY URETHRAL SURGERY
REPAIR OF HYPOSPADIAS COMPLICATIONS (IE, FISTULA, STRICTURE, DIVERTICULA); REQUIRING EXTENSIVE DISSECTION AND URETHROPLASTY WITH FLAP, PATCH OR|TU|54348|SECONDARY URETHRAL SURGERY
REPAIR OF HYPOSPADIAS CRIPPLE REQUIRING EXTENSIVE DISSECTION & EXCISION OF PREVIOUSLY CONSTRUCTED STRUCTURES; RE-RELEASE OF CHORDEE & RECON OF|URE|54352|RECONSTRUCT URETHRA/PENIS
PLASTIC OPERATION ON PENIS TO CORRECT ANGULATION||54360|PENIS PLASTIC SURGERY
PLASTIC OPERATION ON PENIS FOR EPISPADIAS DISTAL TO EXTERNAL SPHINCTER;||54380|REPAIR PENIS
PLASTIC OPERATION ON PENIS FOR EPISPADIAS DISTAL TO EXTERNAL SPHINCTER; WITH INCONTINENCE||54385|REPAIR PENIS
PLASTIC OPERATION ON PENIS FOR EPISPADIAS DISTAL TO EXTERNAL SPHINCTER; WITH EXSTROPHY OF BLADDER||54390|REPAIR PENIS AND BLADDER
INSERTION OF PENILE PROSTHESIS; NON-INFLATABLE (SEMI-RIGID)||54400|INSERT SEMI-RIGID PROSTHESIS
INSERTION OF PENILE PROSTHESIS; INFLATABLE (SELF-CONTAINED)||54401|INSERT SELF-CONTD PROSTHESIS
INSERTION OF MULTI-COMPONENT, INFLATABLE PENILE PROSTHESIS, INCLUDING PLACEMENT OF PUMP, CYLINDERS, AND RESERVOIR||54405|INSERT MULTI-COMP PENIS PROS
REMOVAL OF ALL COMPONENTS OF A MULTI-COMPONENT, INFLATABLE PENILE PROSTHESIS WITHOUT REPLACEMENT OF PROSTHESIS||54406|REMOVE MULTI-COMP PENIS PROS
REPAIR OF COMPONENT(S) OF A MULTI-COMPONENT, INFLATABLE PENILE PROSTHESIS||54408|REPAIR MULTI-COMP PENIS PROS
REMOVAL AND REPLACEMENT OF ALL COMPONENT(S) OF A MULTI-COMPONENT, INFLATABLE PENILE PROSTHESIS AT THE SAME OPERATIVE SESSION||54410|REMOVE/REPLACE PENIS PROSTH
REMOVAL&REPLACEMENT OF ALL COMPONENTS OF MULTI-COMPONENT INFLATABLE PENILE PROSTHESIS THROUGH AN INFECTED FIELD AT THE SAME OPERATIVE SESSION,|INC|54411|REMV/REPLC PENIS PROS, COMP
REMOVAL OF NON-INFLATABLE (SEMI-RIGID) OR INFLATABLE (SELF-CONTAINED) PENILE PROSTHESIS, WITHOUT REPLACEMENT OF PROSTHESIS||54415|REMOVE SELF-CONTD PENIS PROS
REMOVAL AND REPLACEMENT OF NON-INFLATABLE (SEMI-RIGID) OR INFLATABLE (SELF-CONTAINED) PENILE PROSTHESIS AT THE SAME OPERATIVE SESSION||54416|REMV/REPL PENIS CONTAIN PROS
REMOVAL&REPLACEMENT, NON-INFLATABLE (SEMI-RIGID)/INFLATABLE (SELF-CONTAINED) PENILE PROSTHESIS THRU AN INFECTED FIELD AT THE SAME OPERATIVE SES|SIO|54417|REMV/REPLC PENIS PROS, COMPL
CORPORA CAVERNOSA-SAPHENOUS VEIN SHUNT (PRIAPISM OPERATION), UNILATERAL OR BILATERAL||54420|REVISION OF PENIS
CORPORA CAVERNOSA-CORPUS SPONGIOSUM SHUNT (PRIAPISM OPERATION), UNILATERAL OR BILATERAL||54430|REVISION OF PENIS
CORPORA CAVERNOSA-GLANS PENIS FISTULIZATION (EG, BIOPSY NEEDLE, WINTER PROCEDURE, RONGEUR, OR PUNCH) FOR PRIAPISM||54435|REVISION OF PENIS
PLASTIC OPERATION OF PENIS FOR INJURY||54440|REPAIR OF PENIS
FORESKIN MANIPULATION INCLUDING LYSIS OF PREPUTIAL ADHESIONS AND STRETCHING||54450|PREPUTIAL STRETCHING
BIOPSY OF TESTIS, NEEDLE (SEPARATE PROCEDURE)||54500|BIOPSY OF TESTIS
BIOPSY OF TESTIS, INCISIONAL (SEPARATE PROCEDURE)||54505|BIOPSY OF TESTIS
EXCISION OF EXTRAPARENCHYMAL LESION OF TESTIS||54512|EXCS,EXTRAPARENCHYM LES,TESTIS
ORCHIECTOMY, SIMPLE (INCLUDING SUBCAPSULAR), WITH OR WITHOUT TESTICULAR PROSTHESIS, SCROTAL OR INGUINAL APPROACH||54520|REMOVAL OF TESTIS
ORCHIECTOMY, PARTIAL||54522|ORCHIECTOMY, PARTIAL
ORCHIECTOMY, RADICAL, FOR TUMOR; INGUINAL APPROACH||54530|REMOVAL OF TESTIS
ORCHIECTOMY, RADICAL, FOR TUMOR; WITH ABDOMINAL EXPLORATION||54535|EXTENSIVE TESTIS SURGERY
